,ast_flag,cb_flag,disc_locale,discoverymethod,dkin_flag,etv_flag,ima_flag,micro_flag,obm_flag,pl_controv_flag,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_name,pl_orbeccen,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_tranmid,ptv_flag,pul_flag,rowupdate,rv_flag,st_age,st_mass,st_rad,st_teff,sy_dist,sy_pnum,sy_snum,tran_flag
28,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,5.68,0.01789,GJ 667 C b,0.172,7.20066,0.049,,,,0,0,2014-05-16,1,,,,,7.24396,5,3,0
29,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,270.0,0.85,HD 155358 b,0.17,194.3,0.64,,,,0,0,2019-01-28,1,10.7,0.92,,5900.0,43.6197,2,1,0
30,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,425.9,1.34,HD 79498 b,0.59,1966.1,3.13,,,,0,0,2019-01-28,1,2.7,1.06,,5740.0,48.9489,1,2,0
31,0,0,Space,Imaging,0,0,1,0,0,0,3994.486,12.569,,,CHXR 73 b,,,210.0,,,,0,0,2014-05-14,0,0.002,0.35,,,190.374,1,1,0
32,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,4400.0,14.0,HD 13189 b,0.27,471.6,1.85,,,,0,0,2018-04-25,1,,,41.98,4184.4,497.823,1,1,0
33,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,5.79,0.018,GJ 433 b,0.08,7.3709,0.058,,,,0,0,2020-02-06,1,,0.48,,3600.0,9.06456,3,1,0
34,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,457.6752,1.44,HIP 5158 b,0.54,345.63,0.89,,,,0,0,2019-09-04,1,,0.78,0.75,4813.0,51.6026,2,1,0
35,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,572.07,1.8,alf Ari b,0.25,380.8,1.2,,,,0,0,2019-01-28,1,,1.5,13.9,4553.0,20.21019,1,1,0
36,0,0,Space,Transit,0,0,0,0,0,0,1303.0,4.1,,,Kepler-32 b,,5.90124,0.05,2.2,0.196,2454974.902,0,0,2016-03-23,0,,0.58,0.53,3900.0,323.847,5,1,1
37,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,5752.48,18.1,tau Gem b,,305.0,,,,,0,0,2014-05-16,1,,,28.72,4482.0,112.537,1,1,0
38,0,0,Ground,Transit,0,0,0,0,0,0,8654.15,27.23,,,KELT-1 b,0.0099,1.217514,0.02466,12.442,1.11,2455914.1628,0,0,2014-05-14,1,,1.32,1.46,6518.0,268.43,1,1,1
39,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,920.0,2.9,HD 62509 b,0.06,589.7,1.69,,,,0,0,2015-03-26,1,,1.7,8.9,,,1,1,0
40,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-370 c,,19.02293,0.14,1.91,0.17,2454972.66161,0,0,2014-05-14,0,,,0.9,5852.0,1167.94,2,1,1
41,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-400 b,,9.024389,0.087,1.65,0.147,2454966.53848,0,0,2014-05-14,0,,,1.15,5886.0,845.97,2,1,1
42,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-221 b,,2.795906,0.037,1.71,0.153,2454965.72929,0,0,2014-05-14,0,,,0.82,5243.0,385.231,4,1,1
43,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-367 c,,53.578637,0.253,1.2,0.107,2455004.18362,0,0,2014-05-14,0,,,0.69,4710.0,188.027,2,1,1
44,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-393 c,,14.613612,0.124,1.33,0.119,2454973.4124,0,0,2014-05-14,0,,,1.38,6189.0,881.404,2,1,1
45,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-304 c,,5.315946,0.054,2.17,0.194,2454965.42892,0,0,2014-05-14,0,,,0.69,4731.0,434.684,4,1,1
46,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-360 b,,3.289672,0.044,1.65,0.147,2454964.75603,0,0,2014-05-14,0,,,1.06,6053.0,876.044,2,1,1
47,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-101 c,,6.029809,0.068,1.33,0.119,2454965.48205,0,0,2014-05-14,0,,,1.67,5570.0,927.981,2,1,1
48,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-243 c,,20.026218,0.142,1.99,0.178,2454979.90767,0,0,2014-05-14,0,,,0.84,5228.0,693.86,2,1,1
49,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-261 c,,24.570858,0.156,2.0,0.178,2454968.87408,0,0,2014-05-14,0,,,0.79,5098.0,317.499,2,1,1
50,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-305 d,,16.738661,0.121,2.71,0.242,2455192.41608,0,0,2014-05-14,0,,,0.79,5100.0,868.477,4,1,1
51,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-327 d,,13.969457,0.09,1.73,0.154,2454965.17104,0,0,2014-05-14,0,,,0.49,3799.0,241.987,3,1,1
52,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-136 b,,11.5789,0.106,2.05,0.183,2455008.58649,0,0,2014-05-14,0,,,1.35,6165.0,420.818,2,2,1
53,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-122 d,,21.587475,0.155,2.2,0.196,2454975.97287,0,0,2014-05-14,0,,,1.22,6050.0,1027.45,5,1,1
54,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-157 c,,13.5405,0.11,2.24,0.2,2455004.68032,0,0,2014-05-14,0,,,1.04,5774.0,773.713,3,1,1
55,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-147 c,,33.416423,0.216,2.43,0.217,2455004.33383,0,0,2014-05-14,0,,,1.47,6012.0,1042.02,2,1,1
56,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-239 b,,11.763051,0.095,2.33,0.208,2455013.93614,0,0,2014-05-14,0,,,0.76,4914.0,648.109,2,1,1
57,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-200 b,,8.594805,0.08,2.13,0.19,2455004.62998,0,0,2014-05-14,0,,,0.94,5678.0,665.912,2,1,1
58,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-243 b,,5.715442,0.062,2.45,0.219,2455007.87832,0,0,2014-05-14,0,,,0.84,5228.0,693.86,2,1,1
59,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-160 c,,13.699087,0.109,3.61,0.322,2455004.48747,0,0,2020-07-02,0,,,0.88,5857.0,937.013,3,1,1
60,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-210 c,,7.972513,0.07,3.62,0.323,2455004.58436,0,0,2014-05-14,0,,,0.65,4559.0,232.75,2,1,1
61,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-254 b,,5.826662,0.064,3.87,0.345,2455006.01039,0,0,2014-05-14,0,,,0.91,5957.0,1389.48,3,1,1
62,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-172 c,,6.388996,0.068,2.86,0.255,2455008.47434,0,0,2014-05-14,0,,,1.08,5526.0,828.592,4,1,1
63,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-299 c,,6.885875,0.07,2.65,0.236,2454971.40955,0,0,2014-05-14,0,,,1.03,5617.0,1052.24,4,1,1
64,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-278 c,,51.078775,0.294,3.59,0.32,2454985.34892,0,0,2014-05-14,0,,,2.94,4991.0,443.03,2,1,1
65,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-339 d,,10.558345,0.091,1.17,0.104,2454969.34663,0,0,2014-05-14,0,,,0.8,5631.0,616.637,3,1,1
66,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-397 b,,22.250949,0.144,2.46,0.219,2454982.43067,0,0,2014-05-14,0,,,0.77,5307.0,,2,1,1
67,0,0,Space,Transit,0,0,0,0,0,0,,,,,Kepler-399 b,,14.425281,0.103,0.96,0.086,2454969.75198,0,0,2014-05-14,0,,,0.68,5502.0,740.537,3,1,1
68,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,317.83,1.0,HD 219415 b,0.4,2093.3,3.2,,,,0,0,2015-09-16,1,,1.0,2.9,4820.0,165.184,1,1,0
69,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,171.6282,0.54,Pr0201 b,0.0,4.4264,,,,,0,0,2018-04-25,1,,1.23,1.17,6174.0,180.64,1,1,0
70,0,0,Ground,Transit,0,0,0,0,0,0,,,,,WASP-24 b,0.0,2.3412127,,,,2455081.37941,0,0,2019-11-27,1,,,,6075.0,322.114,1,3,1
